City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Nouakchott,MR,18.0858,-15.9785,85.93,80,61,15.46,broken clouds
256,Leh,IN,34.1667,77.5833,70.59,36,99,5.08,overcast clouds
257,Kushiro,JP,42.975,144.3747,66.81,97,28,4.25,scattered clouds
258,Quballat,TN,36.5418,9.6633,87.48,50,0,9.73,clear sky
259,Laguna,US,38.421,-121.4238,84.02,46,0,4.61,clear sky
260,Tuatapere,NZ,-46.1333,167.6833,35.06,91,27,3.69,scattered clouds
261,Hovd,MN,48.0056,91.6419,69.87,33,100,3.27,overcast clouds
262,Dandong,CN,40.1292,124.3947,62.4,81,0,1.16,clear sky
263,West Bay,KY,19.3667,-81.4167,89.67,79,40,14.97,scattered clouds
264,Bentiu,SS,9.2333,29.8333,75.18,88,100,2.28,overcast clouds
265,Moa,CU,20.6569,-74.9403,85.24,67,9,13.91,clear sky
266,Ilulissat,GL,69.2167,-51.1,35.96,98,100,5.93,light rain
267,Tres Lagoas,BR,-20.7511,-51.6783,66.22,41,0,12.39,clear sky
268,Rimbey,CA,52.6334,-114.2353,72.63,63,100,4.74,overcast clouds
269,Olafsvik,IS,64.8945,-23.7142,48.43,80,79,10.22,broken clouds
270,Gat,IL,31.61,34.7642,81.81,100,2,5.32,clear sky
271,Simpang,ID,-1.2667,104.0833,75.43,94,100,2.84,overcast clouds
272,Talkha,EG,31.0539,31.3779,75.4,79,0,6.11,clear sky
273,Bodrum,TR,37.0383,27.4292,80.53,75,1,3.67,clear sky
274,Riverton,US,40.5219,-111.9391,93.11,34,0,4.61,clear sky
275,Lasa,IT,46.6166,10.7002,69.37,83,62,1.57,broken clouds
276,Henties Bay,NA,-22.116,14.2845,54.1,89,0,5.46,clear sky
277,Salinas,US,36.6777,-121.6555,83.01,60,0,7.09,clear sky
278,Mandera,KE,3.9366,41.867,81.09,58,93,19.95,overcast clouds
279,Kiama,AU,-34.6833,150.8667,54.57,85,69,1.99,broken clouds
280,Portland,US,45.5234,-122.6762,71.82,71,99,7.0,overcast clouds
281,Ust-Kulom,RU,61.6864,53.6902,53.42,94,97,7.76,overcast clouds
282,Miles City,US,46.4083,-105.8406,92.55,24,57,14.18,broken clouds
283,Evensk,RU,61.95,159.2333,53.33,94,100,5.01,light rain
284,Iisalmi,FI,63.5592,27.1907,63.72,70,100,6.49,overcast clouds
285,Saskylakh,RU,71.9167,114.0833,48.02,80,73,12.62,broken clouds
286,Ohara,JP,35.25,140.3833,80.1,92,100,12.68,overcast clouds
287,Douglas,US,41.3,-96.167,93.58,47,0,8.05,clear sky
288,Northam,GB,51.0333,-4.2167,75.61,51,10,5.95,clear sky
289,Pangnirtung,CA,66.1451,-65.7125,46.08,79,99,2.33,overcast clouds
290,Yar-Sale,RU,66.8333,70.8333,49.05,72,26,4.16,scattered clouds
291,Itacoatiara,BR,-3.1431,-58.4442,97.02,26,6,3.8,clear sky
292,Erenhot,CN,43.6475,111.9767,72.84,50,0,8.21,clear sky
293,Faanui,PF,-16.4833,-151.75,76.68,72,0,4.34,light rain
294,Puerto Padre,CU,21.195,-76.6028,89.56,54,75,16.02,broken clouds
295,Grindavik,IS,63.8424,-22.4338,50.47,87,75,13.8,broken clouds
296,Lyubim,RU,58.3625,40.6843,54.48,82,9,4.81,clear sky
297,Pakaur,IN,24.6333,87.85,79.3,86,99,19.37,overcast clouds
298,Ambon,ID,-3.6954,128.1814,76.23,16,40,4.61,scattered clouds
299,Ampatuan,PH,6.8667,124.4667,75.18,95,100,1.3,overcast clouds
300,Mariental,NA,-24.6333,17.9667,66.88,8,0,2.17,clear sky
301,Bethel,US,41.3712,-73.414,86.47,57,4,4.54,clear sky
302,Storslett,NO,69.7678,21.0247,59.0,88,75,1.14,broken clouds
303,Kavieng,PG,-2.5744,150.7967,79.47,79,100,3.33,overcast clouds
304,Talnakh,RU,69.4865,88.3972,49.21,83,100,6.29,overcast clouds
305,Kavaratti,IN,10.5669,72.642,81.79,80,99,23.13,overcast clouds
306,Alibag,IN,18.6411,72.8792,80.67,87,100,22.88,light rain
307,Canutama,BR,-6.5339,-64.3831,79.43,66,100,6.02,overcast clouds
308,Nevsehir,TR,38.9167,34.6667,78.01,32,0,11.5,clear sky
309,Inhambane,MZ,-23.865,35.3833,69.78,88,20,4.61,few clouds
310,Amapa,BR,1.0,-52.0,83.5,62,100,1.7,heavy intensity rain
311,Pangai,TO,-19.8,-174.35,78.91,94,20,5.75,few clouds
312,Karabash,RU,55.4808,60.2157,62.67,79,53,2.82,broken clouds
313,Madison,US,34.7334,-86.5667,79.34,96,100,0.0,light rain
314,Isangel,VU,-19.55,169.2667,71.71,83,40,6.91,scattered clouds
315,Codrington,AU,-38.2667,141.9667,48.47,92,100,15.55,overcast clouds
316,Palauig,PH,15.435,119.9045,79.79,78,100,5.91,overcast clouds
317,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,75,5.75,broken clouds
318,Dossor,KZ,47.5272,52.9811,93.18,22,100,5.08,overcast clouds
319,Marystown,CA,47.1666,-55.1483,65.86,100,100,8.01,overcast clouds
320,Muroto,JP,33.2833,134.15,82.96,79,100,5.55,overcast clouds
321,Junagarh,IN,19.8667,82.9333,75.2,91,100,4.94,light rain
322,Trincomalee,LK,8.5711,81.2335,80.17,74,89,19.39,overcast clouds
323,Moinesti,RO,46.4667,26.4833,62.71,84,53,6.38,broken clouds
324,Sisimiut,GL,66.9395,-53.6735,43.66,84,100,5.77,overcast clouds
325,Tabas,IR,33.5959,56.9244,90.54,18,0,9.44,clear sky
326,Upernavik,GL,72.7868,-56.1549,40.57,86,99,8.01,overcast clouds
327,Padang,ID,-0.9492,100.3543,77.59,84,15,3.51,few clouds
328,Iracoubo,GF,5.4802,-53.2011,83.59,73,18,11.45,few clouds
329,Vila Velha,BR,-20.3297,-40.2925,85.95,69,0,14.97,clear sky
330,Jalu,LY,29.0331,21.5482,88.38,30,0,13.09,clear sky
331,Waingapu,ID,-9.6567,120.2641,75.06,86,20,4.92,few clouds
332,Nishihara,JP,26.1842,127.7558,83.48,79,6,4.61,clear sky
333,Jiazi,CN,22.8779,116.067,79.74,89,13,7.74,few clouds
334,Salalah,OM,17.0151,54.0924,78.57,85,99,4.76,overcast clouds
335,Vila,PT,42.0304,-8.1588,67.69,69,9,3.87,clear sky
336,Iqaluit,CA,63.7506,-68.5145,54.7,66,3,10.0,clear sky
337,Vila Do Maio,CV,15.1333,-23.2167,79.95,83,74,9.48,broken clouds
338,Pringsewu,ID,-5.3582,104.9744,72.81,95,94,1.59,overcast clouds
339,Ngunguru,NZ,-35.6167,174.5,53.67,82,56,16.96,broken clouds
340,Sakaiminato,JP,35.55,133.2333,79.66,84,100,4.92,overcast clouds
341,Kuching,MY,1.55,110.3333,75.42,94,40,3.0,scattered clouds
342,Savannah Bight,HN,16.45,-85.85,81.68,80,100,19.19,overcast clouds
343,Nemuro,JP,43.3236,145.575,65.93,98,82,10.83,broken clouds
344,Vesele,UA,47.0148,34.915,80.96,26,91,7.72,overcast clouds
345,Heze,CN,35.2431,115.4411,72.46,92,27,3.0,scattered clouds
346,Anadyr,RU,64.75,177.4833,59.0,77,7,4.0,clear sky
347,Svetlyy,RU,54.675,20.1347,64.45,79,39,7.58,scattered clouds
